Flow Duration,Flow IAT Mean,Fwd PSH Flags,Bwd Packet Length Mean,Bwd Packet Length Max,Flow Bytes/s,Down/Up Ratio,SYN Flag Count,Fwd Packet Length Mean,Fwd IAT Std,Packet Length Mean,Fwd Packet Length Max,Subflow Fwd Packets,Flow Packets/s,Total Fwd Packets,Destination Port,Label
303376,30337.6,0,749.4,1448,12743.263,0,0,19.833334,98776.15,322.16666,119,6,36.258636,6,443,Benign
117,117.0,0,0.0,0,0.0,1,0,0.0,0.0,0.0,0,1,17094.018,1,52631,Benign
142,142.0,0,0.0,0,84507.04,0,0,6.0,0.0,6.0,6,2,14084.507,2,80,Benign
191,63.666668,0,52.0,52,921465.94,1,0,36.0,0.0,42.4,36,2,20942.408,2,53,Benign
4,4.0,0,0.0,0,3000000.0,0,0,6.0,0.0,6.0,6,2,500000.0,2,49467,Benign
162322,3959.0732,0,19.416666,51,4102.956,1,0,11.111111,30630.129,15.488372,43,18,258.74496,18,21,Benign
61050653,2907174.0,0,22.818182,233,52.300835,1,0,267.45456,5145240.0,138.82608,1460,11,0.3603565,11,80,Benign
108,108.0,0,0.0,0,111111.11,0,0,6.0,0.0,6.0,6,2,18518.518,2,80,Benign
764920,764920.0,0,0.0,0,15.687915,0,0,6.0,0.0,6.0,6,2,2.6146524,2,443,Benign
122255,61127.5,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,2,24.538874,2,443,Benign
5573885,2786942.5,0,0.0,0,2.152897,0,0,6.0,0.0,4.5,6,2,0.5382242,2,80,Benign
5647799,1882599.6,0,0.0,0,2.1247215,0,0,4.0,3872029.8,2.4,6,3,0.7082405,3,80,Benign
212,70.666664,0,111.0,111,1490566.0,1,0,47.0,0.0,72.6,47,2,18867.924,2,53,Benign
3,3.0,1,0.0,0,12300000.0,0,1,18.5,0.0,22.666666,31,2,666666.7,2,20056,Benign
90293691,6945668.5,0,178.16667,622,23.999462,0,0,137.25,21944278.0,144.46666,554,8,0.15504959,8,80,Benign
31006106,1476481.2,0,410.18182,1460,185.89886,1,0,113.818184,4185728.0,250.60869,884,11,0.7095377,11,443,Benign
7420130,436478.25,0,463.42856,1460,592.44244,0,0,104.72727,1810145.5,231.36842,549,11,2.4258335,11,443,Benign
